Constant,Participant,Face,Context,attract,pitch,base
1,3,29,2,4,119.12,111.17
1,3,30,2,3,115.89,112.05
1,3,31,2,5,114.98,108.48
1,3,32,2,2,120.19,112.66
1,4,1,1,5,119.12,107.53
1,4,2,1,8,128.1,114.51
1,4,3,1,8,116.37,114.51
1,4,4,1,8,116.75,114.51
1,4,5,1,5,120.66,107.53
1,4,6,1,8,120.14,114.51
1,4,7,1,3,114.16,111.12
1,4,8,1,2,118.67,109.84
1,4,9,1,3,115.26,111.12
1,4,10,1,5,121.85,107.53
1,4,11,1,6,119.08,114.34
1,4,12,1,8,118.66,114.51
1,4,13,1,4,120.89,109.76
1,4,14,1,4,122.13,109.76
1,4,15,1,3,116.36,111.12
1,4,16,1,4,119.32,109.76
1,4,17,1,7,126.06,110.14
1,4,18,1,6,117.35,114.34
1,4,19,1,7,120.66,110.14
1,4,20,1,2,130.8,109.84
1,4,21,1,8,116.25,114.51
1,4,22,1,7,120.96,110.14
1,4,23,1,3,114.32,111.12
1,4,24,1,5,115.95,107.53
1,4,25,1,2,123.08,109.84
1,4,26,1,3,115.48,111.12
1,4,27,1,3,121.63,111.12
1,4,28,1,7,120.43,110.14
1,4,29,1,4,119.85,109.76
1,4,30,1,6,123.43,114.34
1,4,31,1,6,118.68,114.34
1,4,32,1,4,132.46,109.76
1,4,1,2,8,123.73,114.51
1,4,2,2,3,116.81,111.12
1,4,3,2,2,116.95,109.84
1,4,4,2,8,123.1,114.51
1,4,5,2,6,118.05,114.34
1,4,6,2,2,116.39,109.84
1,4,7,2,8,123.49,114.51
1,4,8,2,2,122.15,109.84
1,4,9,2,2,119.14,109.84
1,4,10,2,5,115.79,107.53
1,4,11,2,7,121.24,110.14
1,4,12,2,2,117.89,109.84
1,4,13,2,6,119.44,114.34
1,4,14,2,4,122.91,109.76
1,4,15,2,9,119.95,108.88
1,4,16,2,7,126.1,110.14
1,4,17,2,2,119.92,109.84
1,4,18,2,4,124.65,109.76
1,4,19,2,6,117.91,114.34
1,4,20,2,6,121.88,114.34
1,4,21,2,9,117.57,108.88
1,4,22,2,7,118.73,110.14
1,4,23,2,5,117.85,107.53
1,4,24,2,5,119.62,107.53
1,4,25,2,7,122.37,110.14
1,4,26,2,3,115.61,111.12
1,4,27,2,4,124.57,109.76
1,4,28,2,9,118.35,108.88
1,4,29,2,6,120.15,114.34
1,4,30,2,6,119.24,114.34
1,4,31,2,4,122.27,109.76
1,4,32,2,6,121.12,114.34
1,5,1,1,2,119.71,110.37
1,5,2,1,1,105.07,105.74
1,5,3,1,3,116.27,110.38
1,5,4,1,4,112.45,99.58
1,5,5,1,1,114.42,105.74
1,5,6,1,1,104.58,105.74
1,5,7,1,7,100.61,95.14
1,5,8,1,1,103.81,105.74
1,5,9,1,4,116.57,99.58
1,5,10,1,5,107.8,95.69
1,5,11,1,3,115.49,110.38
1,5,12,1,1,102.37,105.74
1,5,13,1,6,111.96,103.82
1,5,14,1,3,126.66,110.38
1,5,15,1,8,102.54,101.82
1,5,16,1,7,107.55,95.14
1,5,17,1,2,106.29,110.37
1,5,18,1,5,111.48,95.69
1,5,19,1,4,114.56,99.58
1,5,20,1,4,121.54,99.58
1,5,21,1,7,123.75,95.14
1,5,22,1,5,112.81,95.69
1,5,23,1,6,114.3,103.82
1,5,24,1,6,121.14,103.82
1,5,25,1,6,106.74,103.82
1,5,26,1,3,107.45,110.38
1,5,27,1,2,112.78,110.37
1,5,28,1,8,110.24,101.82
1,5,29,1,4,105.53,99.58
1,5,30,1,1,114.97,105.74
1,5,31,1,3,109.61,110.38
1,5,32,1,2,110.03,110.37
1,5,1,2,2,119.9,110.37
1,5,2,2,1,95.67,105.74
1,5,3,2,2,113.65,110.37
1,5,4,2,4,125.83,99.58
1,5,5,2,1,103.16,105.74
1,5,6,2,1,99.89,105.74
1,5,7,2,7,98.37,95.14
1,5,8,2,1,104.19,105.74
1,5,9,2,2,112.79,110.37
1,5,10,2,2,107.54,110.37
1,5,11,2,2,108.62,110.37
1,5,12,2,1,98.67,105.74
1,5,13,2,2,110.15,110.37
1,5,14,2,1,99.61,105.74
1,5,15,2,9,102,101.82
1,5,16,2,5,113.52,95.69
1,5,17,2,1,96.88,105.74
1,5,18,2,3,115.3,110.38
1,5,19,2,4,105.94,99.58
1,5,20,2,2,109.37,110.37
1,5,21,2,9,103.38,101.82
1,5,22,2,1,104.68,105.74
1,5,23,2,7,130.87,95.14
1,5,24,2,4,108.14,99.58
1,5,25,2,6,119.57,103.82
1,5,26,2,3,109.68,110.38
1,5,27,2,1,97.67,105.74
1,5,28,2,8,107.97,101.82
1,5,29,2,3,111.81,110.38
1,5,30,2,1,104.48,105.74
1,5,31,2,3,117.34,110.38
1,5,32,2,2,112.09,110.37
1,6,1,1,5,120.32,111.28
1,6,2,1,1,111.46,108.72
1,6,3,1,1,108.63,108.72
1,6,4,1,7,106.24,108.59
1,6,5,1,3,125.32,108.92
1,6,6,1,5,109.6,111.28
1,6,7,1,1,113.4,108.72
1,6,8,1,1,112.75,108.72
1,6,9,1,1,128.5,108.72
1,6,10,1,7,110.62,108.59
1,6,11,1,6,107.27,115.75
1,6,12,1,1,117,108.72
1,6,13,1,5,124.87,111.28
1,6,14,1,5,130.5,111.28
1,6,15,1,9,117.63,109.72
1,6,16,1,5,104.71,111.28
1,6,17,1,9,119.65,109.72
1,6,18,1,6,105.03,115.75
1,6,19,1,6,115.58,115.75
1,6,20,1,5,113.39,111.28
1,6,21,1,9,125.8,109.72
1,6,22,1,3,123.63,108.92
1,6,23,1,1,111.77,108.72
1,6,24,1,1,112.37,108.72
1,6,25,1,6,112.99,115.75
1,6,26,1,5,104.96,111.28
1,6,27,1,3,104.48,108.92
1,6,28,1,9,107.32,109.72
1,6,29,1,5,117.53,111.28
1,6,30,1,5,119.35,111.28
1,6,31,1,5,118.82,111.28
1,6,32,1,5,106.9,111.28
1,6,1,2,1,113.12,108.72
1,6,2,2,1,111.23,108.72
1,6,3,2,1,115.64,108.72
1,6,4,2,5,114.43,111.28
1,6,5,2,1,112.32,108.72
1,6,6,2,2,104.39,101.17
1,6,7,2,1,119.23,108.72
1,6,8,2,3,108.89,108.92
1,6,9,2,1,111.65,108.72
1,6,10,2,6,113.71,115.75
1,6,11,2,5,111.53,111.28
1,6,12,2,3,122.48,108.92
1,6,13,2,5,131.73,111.28
1,6,14,2,3,106.06,108.92
1,6,15,2,9,110.17,109.72
1,6,16,2,3,110.24,108.92
1,6,17,2,2,104.37,101.17
1,6,18,2,3,126.02,108.92
1,6,19,2,4,164.07,106.73
1,6,20,2,6,115.16,115.75
1,6,21,2,9,103.78,109.72
1,6,22,2,3,108.04,108.92
1,6,23,2,4,119.27,106.73
1,6,24,2,5,111.65,111.28
1,6,25,2,8,138.28,107.45
1,6,26,2,5,148.57,111.28
1,6,27,2,1,117.65,108.72
1,6,28,2,9,129.29,109.72
1,6,29,2,5,112.34,111.28
1,6,30,2,4,102.57,106.73
1,6,31,2,6,114.12,115.75
1,6,32,2,7,117.42,108.59
1,7,1,1,4,128,110.6
1,7,2,1,2,114.01,107.42
1,7,3,1,2,119.7,107.42
1,7,4,1,3,116.24,107.03
1,7,5,1,5,119.16,107.28
1,7,6,1,2,115.97,107.42
1,7,7,1,2,111.75,107.42
1,7,8,1,2,123.04,107.42
1,7,9,1,3,109.91,107.03
1,7,10,1,3,114,107.03
1,7,11,1,2,112.66,107.42
1,7,12,1,2,113.78,107.42
1,7,13,1,2,102.87,107.42
1,7,14,1,3,115.51,107.03
1,7,15,1,4,136.67,110.6
1,7,16,1,1,110.55,106.6
1,7,17,1,2,119.17,107.42
1,7,18,1,2,115.63,107.42
1,7,19,1,2,121.04,107.42
1,7,20,1,2,119.54,107.42
1,7,21,1,5,117.66,107.28
1,7,22,1,3,110.77,107.03
1,7,23,1,5,117.47,107.28
1,7,24,1,3,115.65,107.03
1,7,25,1,1,115.86,106.6
1,7,26,1,3,114.79,107.03
1,7,27,1,1,112.34,106.6
1,7,28,1,7,119.38,100.42
1,7,29,1,2,115.35,107.42
1,7,30,1,8,117.5,111.1
1,7,31,1,2,114.85,107.42
1,7,32,1,3,108.38,107.03
1,7,1,2,4,124.02,110.6
1,7,2,2,1,112.27,106.6
1,7,3,2,2,114.96,107.42
1,7,4,2,3,113.01,107.03
1,7,5,2,5,117.179,107.28
1,7,6,2,2,118.9,107.42
1,7,7,2,4,135.25,110.6
1,7,8,2,1,116,106.6
1,7,9,2,2,118.64,107.42
1,7,10,2,2,108.03,107.42
1,7,11,2,1,117.05,106.6
1,7,12,2,4,129.6,110.6
1,7,13,2,3,110.59,107.03
1,7,14,2,1,129.52,106.6
1,7,15,2,7,124.62,100.42
1,7,16,2,1,122.49,106.6
1,7,17,2,2,116.99,107.42
1,7,18,2,2,110.34,107.42
1,7,19,2,4,113.01,110.6
1,7,20,2,3,118.01,107.03
1,7,21,2,6,124.77,114.11
1,7,22,2,3,111.17,107.03
1,7,23,2,6,118.82,114.11
1,7,24,2,2,121.22,107.42
1,7,25,2,3,111.54,107.03
1,7,26,2,2,113.54,107.42
1,7,27,2,1,114.11,106.6
1,7,28,2,7,126.05,100.42
1,7,29,2,3,115.38,107.03
1,7,30,2,3,114.11,107.03
1,7,31,2,2,118.42,107.42
1,7,32,2,4,129.41,110.6
1,8,1,1,5,82.69,86.32
1,8,2,1,2,88.55,96.12
1,8,3,1,4,91.34,93.87
1,8,4,1,8,87.62,90.14
1,8,5,1,4,83.48,93.87
1,8,6,1,1,86.11,85.15
1,8,7,1,5,83.9,86.32
1,8,8,1,3,83.47,88.43
1,8,9,1,6,88.77,86.97
1,8,10,1,3,83.18,88.43
1,8,11,1,6,123.9,86.97
1,8,12,1,2,81.39,96.12
1,8,13,1,7,91.6,88.72
1,8,14,1,3,85.99,88.43
1,8,15,1,8,89.74,90.14
1,8,16,1,4,87.11,93.87
1,8,17,1,4,82.13,93.87
1,8,18,1,6,87.56,86.97
1,8,19,1,5,81.99,86.32
1,8,20,1,5,82.61,86.32
1,8,21,1,9,83.72,86.24
1,8,22,1,4,105.28,93.87
1,8,23,1,7,83.49,88.72
1,8,24,1,7,86.92,88.72
